handle,image_1_path,image_2_path,image_3_path,image_4_path
u-f-bas001,product_shots/optimised/u-f-bas001/02.jpg,,,
u-f-bas002,product_shots/optimised/u-f-bas002/02.jpg,,,
u-f-brl002,product_shots/optimised/u-f-brl002/02.jpg,,,
u-f-brl003,,,,
u-f-brl004,,,,
u-f-brl005,,,,
u-f-brl006,product_shots/optimised/u-f-brl006/02.jpg,product_shots/optimised/u-f-brl006/03.jpg,,
u-f-brl007,,,,
u-f-brl008,,,,
u-f-brl009,,,,
u-f-brl010,product_shots/optimised/u-f-brl010/02.jpg,,,
u-f-brl011,,,,
u-f-brl012,,,,
u-f-brl013,,,,
u-f-brl014,product_shots/optimised/u-f-brl014/03.jpg,product_shots/optimised/u-f-brl014/04.jpg,,
u-f-brl015,product_shots/optimised/u-f-brl015/03.jpg,product_shots/optimised/u-f-brl015/04.jpg,,
u-f-co001,,,,
u-f-co002,product_shots/optimised/u-f-co002/02.jpg,product_shots/optimised/u-f-co002/03.jpg,,
u-f-co003,product_shots/optimised/u-f-co003/02.jpg,,,
u-f-co004,,,,
u-f-co005,,,,
u-f-co006,product_shots/optimised/u-f-co006/02.jpg,product_shots/optimised/u-f-co006/03.jpg,,
u-f-co007,,,,
u-f-co008,,,,
u-f-lei001,,,,
u-f-lei002,product_shots/optimised/u-f-lei002/02.jpg,,,
u-f-lis001,,,,
u-f-lis002,,,,
u-f-lis003,,,,
u-f-lis004,product_shots/optimised/u-f-lis004/02.jpg,,,
u-f-lis005,product_shots/optimised/u-f-lis005/03.jpg,,,
u-f-lis006,product_shots/optimised/u-f-lis006/02.jpg,,,
u-f-lis007,,,,
u-f-lis008,product_shots/optimised/u-f-lis008/02.jpg,,,
u-f-lu003,product_shots/optimised/u-f-lu003/02.jpg,,,
u-f-lu004,product_shots/optimised/u-f-lu004/02.jpg,product_shots/optimised/u-f-lu004/03.jpg,product_shots/optimised/u-f-lu004/04.jpg,
u-f-lu005,product_shots/optimised/u-f-lu005/02.jpg,,,
u-f-lu006,,,,
u-f-lu007,,,,
u-f-nue001,,,,
u-f-ibz001,product_shots/optimised/u-f-ibz001/02.jpg,,,
u-f-ibz002,,,,
u-f-ibz003,product_shots/optimised/u-f-ibz003/02.jpg,product_shots/optimised/u-f-ibz003/03.jpg,,
u-f-vie001,,,,
u-f-vie002,,,,
u-f-vie003,,,,
u-f-vie004,product_shots/optimised/u-f-vie004/02.jpg,product_shots/optimised/u-f-vie004/03.jpg,product_shots/optimised/u-f-vie004/04.jpg,
u-f-vie005,product_shots/optimised/u-f-vie005/02.jpg,,,
u-f-vie006,product_shots/optimised/u-f-vie006/02.jpg,,,
u-f-vie007,,,,
u-f-vie008,,,,
u-f-vie009,product_shots/optimised/u-f-vie009/01.jpg,product_shots/optimised/u-f-vie009/02.jpg,product_shots/optimised/u-f-vie009/03.jpg,
u-f-vie010,,,,
u-f-vie011,product_shots/optimised/u-f-vie011/02.jpg,product_shots/optimised/u-f-vie011/03.jpg,,
u-f-vie012,product_shots/optimised/u-f-vie012/02.jpg,product_shots/optimised/u-f-vie012/03.jpg,,
u-f-vie013,,,,
u-f-vie014,,,,
u-f-zh001,product_shots/optimised/u-f-zh001/02.jpg,,,
u-f-zh002,,,,
u-f-zh003,product_shots/optimised/u-f-zh003/03.jpg,product_shots/optimised/u-f-zh003/04.jpg,,
u-f-zh004,,,,
u-f-zh005,,,,
u-f-zh006,,,,
u-f-zh007,,,,
u-f-zh008,product_shots/optimised/u-f-zh008/02.jpg,product_shots/optimised/u-f-zh008/03.jpg,product_shots/optimised/u-f-zh008/04.jpg,
u-f-zh009,product_shots/optimised/u-f-zh009/02.jpg,product_shots/optimised/u-f-zh009/03.jpg,product_shots/optimised/u-f-zh009/04.jpg,
u-f-zh010,product_shots/optimised/u-f-zh010/03.jpg,,,
u-f-zh011,,,,
u-f-zh012,,,,
u-f-zh013,,,,
u-f-zh014,,,,
u-f-zh015,product_shots/optimised/u-f-zh015/02.jpg,product_shots/optimised/u-f-zh015/03.jpg,,
u-f-zh016,,,,
u-f-zh017,product_shots/optimised/u-f-zh017/02.jpg,product_shots/optimised/u-f-zh017/03.jpg,,
u-f-zh018,,,,
